86.7 w1 
81.7 w2 
25.7 w3 
168.4 w1 + w2
5.0 w1 - w2
112.4 w1 + w3
61.0 w1 - w3
107.4 w2 + w3
56.0 w2 - w3
194.1 w1 + w2 + w3
142.7 w1 + w2 - w3
30.7 w1 - w2 + w3
20.7-w1 + w2 + w3
